normalized_address,lat,lng,quality,source,resolved_at
"0 DUVAL SLIP 6, KEY WEST, 33040",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"0000 US 301 & CR 216, WILDWOOD, 34484",28.909173990694,-82.037005959312,Non_Exact,census,2026-09-03T22:59:10.736Z
"1 7 AVE N, LAKE WORTH, 33460",26.623595880988,-80.047854676215,Exact/L,census,2026-08-24T03:02:22.366Z
"1 9 ST S, NAPLES, 34102",26.147321614062,-81.79549399993,Non_Exact/L,census,2026-09-03T22:59:10.736Z
"1 AAR WAY STE 102, ROCKLEDGE, 32955",28.2250623,-80.6736153,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 AAR WAY SUITE 102, ROCKLEDGE, 32955",28.2250623,-80.6736153,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 AIR TERMINAL PKWY STE 110, MELBOURNE, 32901",28.096179842254,-80.628438128216,Exact/L,census,2026-09-03T22:59:10.736Z
"1 AIR TERMINAL PKWY, MELBOURNE, 32901",28.096179842254,-80.628438128216,Exact/L,census,2026-09-03T22:59:10.736Z
"1 ALHAMBRA PLAZA, MIAMI, 33147",25.752520493786,-80.254705053887,Non_Exact/R,census,2026-09-02T23:42:22.837Z
"1 ANASTASIA BLVD, SAINT AUGUSTINE, 32080",29.892656331623,-81.303931306321,Exact/L,census,2026-09-03T22:59:10.736Z
"1 ANCHOR DR, KEY LARGO, 33037",25.3138003,-80.28405169999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 ANDERSON CIRCLE, SAINT AUGUSTINE, 32084",29.893142027372,-81.311049363257,Exact/R,census,2026-09-03T22:59:10.736Z
"1 ARTHREX WAY, NAPLES, 34108",26.2703771,-81.7922677,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 AVOCADO LANE, EUSTIS, 32726",28.876929880402,-81.696571856258,Exact/R,census,2026-09-03T22:59:10.736Z
"1 BEACH DRI SE STE 41, ST PETERSBURG, 33701",27.770575,-82.63351999999999,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 BEACH DRIVE SE 101, ST PETERSBURG, 33701",27.771172589595,-82.633401861757,Exact/R,census,2026-09-03T22:59:10.736Z
"1 BEACHLAND BLVD, ORCHID, 32963",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 BEACHLAND BLVD, VERO BEACH, 32963",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 BEACHSIDE DR, TOWN OF ORCHID, 32963",27.775268141311,-80.404023780608,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 BOARDWALK, DAYTONA BEACH, 32118",29.227157869523,-81.007048085864,Exact/L,census,2026-09-03T22:59:10.736Z
"1 BUCCANEER PL, TAMPA, 33607",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 CAUSEWAY BLVD, DUNEDIN, 34698",28.061760959012,-82.826841915067,Exact/L,census,2026-09-03T22:59:10.736Z
"1 CENTURY DR, WINTER HAVEN, 33881",28.09818703482,-81.68566537693,Non_Exact/R,census,2026-09-03T22:59:10.736Z
"1 CHENEY WAY, PUNTA GORDA, 33982",26.9115433,-82.00676220000001,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
"1 COLLANY RD, TIERRA VERDE, 33715",27.67516232601,-82.727279870382,Exact/L,census,2026-09-03T22:59:10.736Z
"1 COMMERCIAL BLVD, LAUDERDALE-BY-THE-SE, 33308",26.188542008836,-80.146924194843,Non_Exact/L,census,2026-09-02T23:42:22.837Z
"1 CONCOURS WAY, OPA-LOCKA, 33054",,,google:GEOMETRIC_CENTER-too-coarse,google,2026-09-04T01:08:56.076Z
"1 COUNTRY CLUB DR, DESTIN, 32541",30.3948872,-86.4593435,google:ROOFTOP,google,2026-09-04T01:08:56.076Z
